A new study created in memory with name: no-name-7393525b-bd85-434c-8df8-ff864db41dcf
Trial 0 finished with value: 9.696564402580261 and parameters: {'lr': 4.523451036171649e-05, 'batch_size': 139, 'n_epochs': 1811, 'early_stop': 338, 'n_neurons': 111, 'optimizer': 'SGD'}. Best is trial 0 with value: 9.696564402580261.
Trial 1 finished with value: 0.7820080649852753 and parameters: {'lr': 0.0006176504499242359, 'batch_size': 158, 'n_epochs': 2809, 'early_stop': 114, 'n_neurons': 195, 'optimizer': 'Adam'}. Best is trial 1 with value: 0.7820080649852753.
Trial 2 finished with value: 4.333518033027649 and parameters: {'lr': 4.860908884836101e-05, 'batch_size': 66, 'n_epochs': 1069, 'early_stop': 256, 'n_neurons': 54, 'optimizer': 'SGD'}. Best is trial 1 with value: 0.7820080649852753.
Trial 3 finished with value: 5.1810510635375975 and parameters: {'lr': 3.124178691752569e-05, 'batch_size': 192, 'n_epochs': 3113, 'early_stop': 373, 'n_neurons': 108, 'optimizer': 'Adam'}. Best is trial 1 with value: 0.7820080649852753.
Trial 4 finished with value: 3.45857981801033 and parameters: {'lr': 5.950286894775526e-05, 'batch_size': 51, 'n_epochs': 2002, 'early_stop': 211, 'n_neurons': 75, 'optimizer': 'SGD'}. Best is trial 1 with value: 0.7820080649852753.
Trial 5 finished with value: 12.446125030517578 and parameters: {'lr': 2.4734601067723887e-05, 'batch_size': 205, 'n_epochs': 1527, 'early_stop': 321, 'n_neurons': 209, 'optimizer': 'SGD'}. Best is trial 1 with value: 0.7820080649852753.
Trial 6 finished with value: 7.219732160568237 and parameters: {'lr': 7.009133454984599e-05, 'batch_size': 92, 'n_epochs': 2188, 'early_stop': 499, 'n_neurons': 198, 'optimizer': 'SGD'}. Best is trial 1 with value: 0.7820080649852753.
Trial 7 finished with value: 5.965405325889588 and parameters: {'lr': 5.240787359421711e-05, 'batch_size': 58, 'n_epochs': 1815, 'early_stop': 191, 'n_neurons': 130, 'optimizer': 'Adam'}. Best is trial 1 with value: 0.7820080649852753.
Trial 8 finished with value: 0.97420823097229 and parameters: {'lr': 0.0002492849613038926, 'batch_size': 38, 'n_epochs': 2784, 'early_stop': 105, 'n_neurons': 109, 'optimizer': 'SGD'}. Best is trial 1 with value: 0.7820080649852753.
Trial 9 finished with value: 9.437821304798126 and parameters: {'lr': 2.2097735465927785e-05, 'batch_size': 71, 'n_epochs': 2567, 'early_stop': 238, 'n_neurons': 51, 'optimizer': 'SGD'}. Best is trial 1 with value: 0.7820080649852753.
Trial 10 finished with value: 0.7525820231437683 and parameters: {'lr': 0.0009515107979493417, 'batch_size': 128, 'n_epochs': 3581, 'early_stop': 100, 'n_neurons': 298, 'optimizer': 'Adam'}. Best is trial 10 with value: 0.7525820231437683.
Trial 11 finished with value: 0.7611064478754997 and parameters: {'lr': 0.0009942224345372457, 'batch_size': 115, 'n_epochs': 5093, 'early_stop': 104, 'n_neurons': 282, 'optimizer': 'Adam'}. Best is trial 10 with value: 0.7525820231437683.
Trial 12 finished with value: 0.7650778910517693 and parameters: {'lr': 0.0009340130759901365, 'batch_size': 109, 'n_epochs': 5128, 'early_stop': 141, 'n_neurons': 286, 'optimizer': 'Adam'}. Best is trial 10 with value: 0.7525820231437683.
Trial 13 finished with value: 0.8305778619647026 and parameters: {'lr': 0.0002900843558304222, 'batch_size': 119, 'n_epochs': 5033, 'early_stop': 152, 'n_neurons': 299, 'optimizer': 'Adam'}. Best is trial 10 with value: 0.7525820231437683.
